"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races"
"0500000US05143","Washington County, Arkansas","236961","*****","196355","*****","167177","639","8260","1101","2875","773","5786","1407","5877","271","688","846","5692","1799","0","201","5692","1799","40606","*****","14443","4114","63","109","586","675","501","506","0","201","23653","3945","1360","812","1336","812","24","41"
"0500000US06001","Alameda County, California","1666753","*****","1293713","*****","515639","850","168639","3053","5717","569","510734","5678","13687","730","4810","1251","74487","6521","4644","1352","69843","6465","373040","*****","128268","8853","3513","1222","4928","1720","2757","1226","537","529","197587","10128","35450","4426","18219","2907","17231","3524"
"0500000US06007","Butte County, California","231256","*****","192728","*****","165211","498","3466","819","1568","659","9879","1757","350","426","327","462","11927","2084","251","258","11676","2040","38528","*****","21241","2774","553","678","706","574","138","148","10","17","12290","2583","3590","1418","1271","873","2319","1146"
"0500000US06013","Contra Costa County, California","1150215","*****","852960","*****","494370","2055","98242","3197","2501","855","192964","3960","5603","691","4587","2254","54693","4991","1285","775","53408","4996","297255","*****","127931","9572","3011","1135","4846","2231","2884","1015","115","141","129888","9623","28580","5547","17495","4952","11085","2468"
"0500000US06019","Fresno County, California","994400","*****","462723","*****","287500","791","42108","2580","5643","921","100967","2332","1182","427","1775","1231","23548","3727","1052","782","22496","3591","531677","*****","356287","10813","3396","1364","10251","4501","2237","1199","70","93","137378","10776","22058","3347","8852","2099","13206","2421"
"0500000US06023","Humboldt County, California","136373","*****","120218","*****","100713","340","1348","402","5572","1034","4461","928","27","43","386","340","7711","1511","0","211","7711","1511","16155","*****","5450","1783","205","257","866","507","149","137","6","11","7076","1908","2403","1359","1002","996","1401","1059"
"0500000US06025","Imperial County, California","181827","*****","28070","*****","18709","201","4088","843","973","379","2562","237","204","235","119","201","1415","809","0","211","1415","809","153757","*****","98471","5983","113","116","62","85","239","203","0","211","47852","5007","7020","2812","4949","2356","2071","1412"
"0500000US06029","Kern County, California","896764","*****","412918","*****","299561","642","47205","2164","5179","1201","42177","2392","1257","341","1026","726","16513","3584","580","416","15933","3473","483846","*****","374034","10363","3084","2191","2927","1417","2122","1532","399","509","83757","9957","17523","3920","9417","2445","8106","2966"
"0500000US06031","Kings County, California","151366","*****","68166","*****","47706","623","9286","837","1046","380","6683","562","67","98","370","623","3008","1053","13","25","2995","1054","83200","*****","48928","3677","1142","1070","456","258","150","248","206","341","29828","3758","2490","1120","1344","794","1146","839"
"0500000US06037","Los Angeles County, California","10105518","*****","5190231","*****","2619709","3420","783932","6635","18875","2365","1473462","8142","25303","1279","30761","4069","238189","11520","12528","2602","225661","10482","4915287","*****","2564403","39773","27544","4798","57214","6693","19092","3347","3073","1237","2045788","41953","198173","12868","122596","9422","75577","7231"
"0500000US06039","Madera County, California","157672","*****","65733","*****","52548","648","5042","623","963","527","3619","184","0","211","166","241","3395","1003","392","525","3003","889","91939","*****","38892","5560","375","454","547","417","0","211","132","216","49253","5953","2740","1384","2197","1129","543","533"
"0500000US06041","Marin County, California","259666","*****","217820","*****","184668","694","6289","974","189","154","16293","1368","466","182","1132","757","8783","1525","0","211","8783","1525","41846","*****","21662","4120","23","41","86","128","138","143","0","211","15734","3822","4203","2099","2098","1409","2105","1495"
"0500000US06047","Merced County, California","274765","*****","109327","*****","74335","402","8095","887","677","368","19656","1780","1094","1495","346","426","5124","1200","305","371","4819","1112","165438","*****","82765","6739","1023","695","1623","1048","548","459","0","211","73815","6830","5664","2025","3825","1685","1839","890"
"0500000US06053","Monterey County, California","435594","*****","178022","*****","128610","186","10904","1048","1019","639","24563","1744","2138","218","47","75","10741","2194","323","262","10418","2164","257572","*****","76693","8955","849","653","5521","3111","1185","724","94","111","167838","9328","5392","1502","2455","827","2937","1217"
