"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races"
"0500000US01001","Autauga County, Alabama","55200","*****","53672","*****","41412","59","10475","212","159","68","568","166","5","11","41","59","1012","251","0","28","1012","251","1528","*****","1025","337","90","89","0","28","0","28","27","36","368","349","18","29","18","29","0","28"
"0500000US01003","Baldwin County, Alabama","208107","*****","198754","*****","172768","227","19529","317","1398","315","1668","360","9","13","410","288","2972","585","352","372","2620","560","9353","*****","6758","686","235","204","124","123","12","19","0","28","1624","642","600","345","251","159","349","328"
"0500000US01005","Barbour County, Alabama","25782","*****","24676","*****","11898","22","12199","184","63","40","85","38","1","3","86","69","344","161","13","19","331","162","1106","*****","318","179","67","50","9","16","11","20","0","22","692","175","9","13","9","13","0","22"
"0500000US01007","Bibb County, Alabama","22527","*****","21980","*****","16801","22","4974","97","8","16","37","54","0","22","0","22","160","89","0","22","160","89","547","*****","467","70","44","63","0","22","0","22","0","22","9","16","27","32","0","22","27","32"
"0500000US01009","Blount County, Alabama","57645","*****","52384","*****","50232","229","820","159","124","67","198","33","18","32","174","229","818","166","0","28","818","166","5261","*****","4822","174","42","49","17","25","0","28","0","28","263","148","117","86","31","43","86","75"
"0500000US01011","Bullock County, Alabama","10352","*****","10301","51","2228","19","7893","146","122","139","56","71","0","19","2","4","0","19","0","19","0","19","51","51","48","51","0","19","0","19","0","19","0","19","3","7","0","19","0","19","0","19"
"0500000US01013","Butler County, Alabama","20025","*****","19958","43","10384","22","9027","106","2","4","231","44","0","22","0","22","314","94","0","22","314","94","67","43","30","27","28","27","0","22","0","22","0","22","0","22","9","15","9","15","0","22"
"0500000US01015","Calhoun County, Alabama","115098","*****","110895","*****","83423","34","23618","387","227","83","1065","146","9","14","38","28","2515","444","60","55","2455","439","4203","*****","2135","432","58","50","126","184","0","28","0","28","1663","413","221","128","142","109","79","86"
"0500000US01017","Chambers County, Alabama","33826","*****","33058","*****","18872","2","13319","159","97","43","405","38","0","25","18","29","347","159","0","25","347","159","768","*****","611","145","0","25","0","25","0","25","0","25","157","145","0","25","0","25","0","25"
